one of the	2765
a lot of	1962
the U S	1706
as well as	1517
be able to	1382
some of the	1322
It s a	1259
I don t	1164
part of the	1144
the end of	1098
you don t	1052
it s a	1037
the United States	1032
it s not	957
but it s	943
to be a	941
you want to	901
out of the	882
a number of	870
don t have	824
the first time	812
if you re	811
If you re	803
and it s	798
of the most	781
the world s	770
the number of	714
going to be	700
in the world	696
It s not	696
the company s	692
in order to	660
is one of	656
there s a	626
in the UK	624
the rest of	622
that it s	620
in the past	610
the fact that	609
a series of	603
don t know	588
the University of	584
end of the	579
of the world	576
according to the	574
in the future	569
as part of	564
at the time	558
said it was	558
said in a	556
in New York	551
the country s	545
t want to	544
for the first	539
re going to	533
to be the	530
One of the	525
around the world	523
don t want	512
part of a	509
in a statement	508
may not be	499
you have to	493
it comes to	489
more than a	487
in front of	473
there is a	472
told the BBC	472
t have to	469
the same time	467
you can t	455
it doesn t	454
in the U	454
of the best	449
a way to	448
of the year	446
you need to	443
a couple of	441
personal noncommercial use	440
noncommercial use only	440
Terms of Use	440
it would be	435
in the first	430
in terms of	430
they don t	429
I m not	428
is going to	425
This is a	423
is expected to	422
I didn t	417
rest of the	417
have to be	411
in the US	408
the ability to	407
it was a	404
need to be	404
look at the	403
will be available	402
I can t	401
s going to	400
New York City	400
when it comes	399
to have a	397
This is the	397
at the end	391
to get the	388
all of the	386
in the country	382
to make the	380
most of the	378
don t think	374
to make sure	372
back to the	369
There s a	368
to make a	366
many of the	366
to make it	365
won t be	364
you re not	360
It s the	360
to do with	359
the BBC News	358
it s the	354
members of the	354
when you re	353
because of the	353
a bit of	352
we don t	351
that it was	347
at the same	345
in the United	341
parts of the	341
to create a	340
But it s	338
there s no	337
If you want	335
as much as	335
President Barack Obama	332
the idea of	331
this is a	330
it will be	329
It s also	328
there is no	327
New York Times	326
has been a	326
percent of the	325
that you can	324
to deal with	321
to get a	321
up to the	321
a bunch of	321
there was a	320
of the country	320
to do so	319
in the same	319
a group of	319
the White House	318
p m ET	318
want to be	318
in the last	317
is that the	316
version of the	316
doesn t have	314
that doesn t	314
for this story	313
side of the	312
said he was	309
was one of	309
so you can	309
Josh Valcarcel WIRED	308
of thousands of	307
you have a	307
the use of	306
over the past	305
a little bit	305
for more than	304
be available at	304
is the first	304
this story from	303
to find the	303
that s not	302
Audio for this	301
available at approximately	301
at the University	301
if you want	300
According to the	299
at a time	298
and that s	295
would be a	293
the death of	293
I think it	293
take advantage of	292
the size of	292
based on the	291
and if you	290
is part of	288
All rights reserved	287
to the BBC	285
are going to	283
You can also	279
would have been	279
earlier this year	279
the UK s	279
be used in	278
you ve got	278
on top of	277
It was a	275
I want to	275
Copyright 2015 NPR	274
00 p m	274
as a result	273
to try to	273
to have been	271
you can get	269
in the city	269
In addition to	267
the New York	266
the company is	265
and a half	265
top of the	264
according to a	263
the kind of	263
s hard to	263
The U S	262
will be able	261
that it is	261
as long as	260
there was no	260
seems to be	260
it can be	260
in the early	260
s not a	259
that s a	258
and you can	257
not going to	257
on the ground	256
will have to	256
needs to be	256
There s no	256
because it s	256
you ll be	255
the BBC s	255
will be a	255
think it s	253
in recent years	252
the top of	252
in the middle	251
is not a	250
likely to be	250
to be able	250
this is the	249
it is a	249
to see the	249
a result of	247
but if you	247
the future of	247
much of the	246
the cost of	246
on how to	244
to take a	244
the company has	244
away from the	244
a variety of	243
you re a	243
a year ago	243
be aware that	243
don t need	241
the government s	241
said it would	240
you can see	240
in the region	240
will continue to	240
involved in the	239
of the first	239
the middle of	239
that can be	239
of the UK	238
and may be	237
you re going	237
that s the	236
is that it	236
it s just	236
may be used	235
the city s	235
is in the	234
the start of	233
be used to	233
I ve been	232
more likely to	232
not be in	231
member of the	231
this year s	231
you re looking	231
is likely to	231
We don t	231
well as the	230
it s also	230
a range of	230
isn t a	230
up in the	230
it s still	229
is due to	229
the Silk Road	229
that he was	228
aware that the	228
of NPR s	228
as soon as	227
share of the	227
to learn more	227
said that the	227
it wasn t	227
on the other	226
in its final	226
to look at	226
to be in	225
That s why	225
over the last	225
quotes from the	224
if you don	224
to figure out	223
Please be aware	223
the age of	223
the amount of	223
final form and	222
said it had	222
due to the	222
You don t	221
used in any	221
its final form	221
for further information	221
doesn t mean	221
a contractor for	221
s programming is	221
may vary This	221
so it s	221
is the audio	221
the time of	221
is a great	221
over the next	221
to build a	221
All Things Considered	221
programming is the	221
text may not	220
NPR All rights	220
form and may	220
This text may	220
rights reserved No	220
reserved No quotes	220
No quotes from	220
or revised in	220
NPR s programming	220
a pair of	220
from the materials	220
the materials contained	220
materials contained herein	220
contained herein may	220
vary This text	220
record of NPR	220
herein may be	220
authoritative record of	220
updated or revised	220
NPR For personal	220
in any media	220
any media without	220
media without attribution	220
without attribution to	220
attribution to NPR	220
to NPR This	220
NPR This transcript	220
This transcript is	220
transcript is provided	220
For personal noncommercial	220
people in the	220
is provided for	220
provided for personal	220
for personal noncommercial	220
use only pursuant	220
availability may vary	220
only pursuant to	220
that the authoritative	220
be updated or	220
pursuant to our	220
to our Terms	220
our Terms of	220
of Use Any	220
Use Any other	220
and availability may	220
Any other use	220
accuracy and availability	220
future Please be	220
and accuracy and	220
other use requires	220
use requires NPR	220
requires NPR s	220
NPR and accuracy	220
the future Please	220
use only See	220
NPR s prior	220
may be updated	220
s prior permission	220
for NPR and	220
prior permission Visit	220
permission Visit our	220
Visit our permissions	220
our permissions page	220
permissions page for	220
page for further	220
only See Terms	220
created on a	220
contractor for NPR	220
See Terms of	220
by a contractor	220
be in its	220
further information NPR	220
information NPR transcripts	220
the authoritative record	220
of Use For	220
revised in the	220
NPR transcripts are	220
transcripts are created	220
Use For other	220
are created on	220
For other uses	220
other uses prior	220
on a rush	220
uses prior permission	220
a rush deadline	220
deadline by a	220
rush deadline by	220
prior permission required	220
in a way	220
a ton of	219
If you have	218
t have a	217
across the country	217
in the next	217
That s a	217
just a few	217
a long time	217
more and more	217
the back of	216
it in the	216
to work with	215
A lot of	215
In other words	215
that the company	214
the bottom of	214
If you ve	214
it to the	214
And it s	213
but it is	213
There is a	213
he said The	213
will be the	212
to keep the	211
a look at	210
the form of	210
we need to	209
didn t have	209
s a lot	209
isn t the	208
the release of	207
to find a	207
it as a	207
to do it	207
a lot more	206
the most popular	206
the process of	206
in the area	206
a matter of	206
known as the	205
permission required Copyright	205
come up with	205
That s the	204
and the best	204
that it would	203
one of those	203
of the new	203
the best deals	202
a member of	202
it is not	201
was the first	200
in the process	200
there will be	200
the same way	200
access to the	200
if it s	200
out in the	199
sent to your	199
to go to	198
the wake of	198
the other hand	198
I think that	198
would have to	198
that there is	198
It s an	198
And that s	197
but that s	197
head of the	197
that it has	196
at approximately 7	196
7 00 p	196
was able to	196
story from All	196
from All Things	196
Here s a	196
Things Considered will	196
Considered will be	196
approximately 7 00	196
all over the	196
all the time	195
was going to	195
In a statement	195
to say that	195
the most important	195
that you re	194
a list of	194
to find out	194
s easy to	194
such as the	194
find the best	194
it could be	193
of more than	193
the case of	192
is not the	192
a time when	192
up with a	191
in the form	191
to see how	191
the course of	191
t have the	191
can be a	190
the main story	190
a few years	190
if you take	190
It is a	190
of a new	190
people have been	189
He said the	189
reading the main	189
Continue reading the	189
It doesn t	189
a piece of	188
close to the	188
a chance to	188
that he had	188
in the case	188
what you re	187
BBC News Magazine	187
and in the	187
to see if	186
has to be	186
Some of the	186
products and the	186
of the time	186
The New York	186
an attempt to	185
will not be	185
t need to	184
have been killed	184
you re in	184
of the sale	184
with you to	184
it has been	184
it was the	183
a kind of	183
when he was	183
to use the	183
the Middle East	183
they want to	183
lot of people	183
a handful of	183
in response to	182
the first place	182
if you have	182
the heart of	181
the majority of	181
to talk about	181
The BBC s	181
you can do	181
and you ll	180
this kind of	180
As a result	180
U S and	180
which is a	180
work together with	179
to see what	179
up with the	179
of the same	179
a little more	179
more than 1	179
of the city	179
in the way	179
But if you	179
by the end	179
the so called	179
at the top	178
we ve seen	178
ahead of the	178
been able to	177
have to do	177
may have been	177
between the two	176
and it is	176
to focus on	176
may get a	176
it s been	176
and I m	176
What We Want	176
a way that	176
to pay for	176
Subscribe to the	175
to get articles	175
newsletter to get	175
to ensure that	175
they need to	175
email newsletter to	175
can t be	175
get articles sent	175
to your inbox	175
at this point	175
News Magazine s	175
s email newsletter	175
Magazine s email	175
articles sent to	175
Here s how	174
best deals on	174
it s going	174
you take advantage	174
the beginning of	173
but you can	173
they re not	173
you to find	173
the right to	173
the world of	173
I had to	173
There is no	172
it looks like	172
to do the	172
operate independently of	172
of an item	172
a U S	172
could be a	172
click here to	172
get a small	171
didn t know	171
the best products	171
said he had	171
of the company	171
small share of	171
the past year	171
together with you	171
here to learn	171
the idea that	171
a small share	171
you won t	171
is a good	171
we re going	171
Advertising and if	170
sale We want	170
We operate independently	170
and it was	170
independently of Editorial	170
of Editorial and	170
on social media	170
at the moment	170
Editorial and Advertising	170
and Advertising and	170
we have to	170
the sale We	170
the price of	170
are expected to	170
d like to	170
want your feedback	170
an item we	170
We want your	170
we may get	170
them click here	169
we cover we	169
in San Francisco	169
on them click	169
the risk of	169
the people who	169
best products and	169
We work together	169
advantage of an	169
people who are	169
deals on them	169
of people who	169
item we cover	169
It s just	169
cover we may	169
all the way	169
front of the	169
number of people	168
the next few	168
that we have	168
appears to be	168
it s an	168
It s been	168
says it s	168
whether or not	168
of the day	168
t know what	167
allows you to	167
last year s	167
had to be	167
to have the	166
a sense of	166
Copyright 2014 NPR	166
more than just	166
which has been	166
as one of	166
ve got a	166
the Department of	165
director of the	165
s a good	165
ll be able	164
would like to	164
If you don	164
to be more	164
it s hard	163
I m a	163
that they are	163
be in the	163
will also be	163
re looking for	163
and that the	163
Internet of Things	162
the importance of	162
the value of	162
the hands of	162
the opportunity to	162
tens of thousands	162
That s not	162
out of a	162
earlier this month	162
Secretary of State	161
a part of	161
founder and CEO	160
looks like a	160
in the wake	160
for the next	160
of the biggest	160
the head of	159
it didn t	159
for a while	159
seem to be	159
s not just	159
expected to be	159
are trying to	158
is a big	158
response to the	158
It is not	158
It was the	158
s not the	158
it s time	158
want to do	157
want to see	157
and there are	157
has not been	157
check out the	157
in the face	157
chief executive of	157
back in the	157
that this is	156
s one of	155
could have been	155
it was not	155
we can t	155
and there s	155
more than two	155
in the capital	155
we want to	154
s also a	154
that have been	154
to take the	154
is the most	153
to be an	153
to think about	153
You can t	153
It s like	153
looking for a	153
but it was	152
Most of the	152
I m going	152
of the U	152
said they were	152
is trying to	152
And if you	151
to get to	151
said there was	151
down to the	151
the face of	151
Wall Street Journal	151
bottom of the	150
on the same	150
as a way	150
going to have	150
how to do	150
didn t want	150
they didn t	150
that has been	149
and we re	149
is a very	149
half of the	149
you can use	148
would be the	148
but there are	148
is a new	148
an effort to	148
bbc co uk	148
is based on	148
up to a	148
bit of a	148
the US and	148
in this case	147
that don t	147
in which the	147
any of the	147
is also a	147
to a new	147
of this year	147
when it s	147
the town of	147
wouldn t be	146
have been a	146
was in the	146
can be used	146
s important to	146
s been a	146
the last few	146
s time to	146
if you can	146
North Korea s	146
and you re	146
as it is	145
At the time	145
of the two	145
