of the	38440
in the	30869
to the	16284
on the	13804
to be	10628
for the	10518
it s	10505
and the	9462
at the	9140
in a	9033
with the	7825
of a	7787
from the	7548
It s	7412
is a	7374
that the	7023
as a	5773
don t	5736
with a	5699
by the	5663
will be	5367
has been	5244
for a	5210
to a	4883
have been	4818
is the	4756
you re	4702
you can	4693
one of	4630
U S	4455
on a	4429
more than	4316
s a	4282
it was	4106
the first	3947
and a	3943
to get	3700
the same	3661
want to	3643
to make	3571
if you	3542
as the	3487
that s	3479
it is	3434
the world	3411
the company	3285
into the	3249
If you	3236
to do	3235
have to	3213
out of	3202
about the	3192
the most	3095
would be	3073
that it	3036
going to	3025
said the	3007
a new	3003
was a	2970
a lot	2944
part of	2941
I m	2898
doesn t	2891
over the	2884
have a	2833
can be	2749
to have	2741
had been	2631
at a	2622
able to	2603
need to	2582
be a	2541
but it	2531
he said	2528
up to	2504
number of	2491
and it	2489
s not	2463
a few	2445
as well	2422
is not	2402
the best	2391
didn t	2373
isn t	2351
he was	2316
to see	2298
This is	2257
there s	2240
lot of	2238
by a	2230
can t	2229
which is	2228
they re	2215
some of	2210
is that	2206
all the	2204
he says	2165
New York	2106
That s	2085
of its	2072
the country	2037
according to	2031
at least	2013
from a	1987
You can	1971
In the	1944
could be	1933
to take	1928
there are	1919
the UK	1914
I was	1909
such as	1906
has a	1901
but the	1900
the new	1899
the U	1896
year old	1876
this year	1857
they are	1817
this is	1804
the time	1794
was the	1792
that they	1785
and that	1776
of their	1766
s the	1755
after the	1755
way to	1752
there is	1741
last year	1737
is to	1730
It was	1727
It is	1727
of this	1722
that you	1720
you have	1719
of his	1715
trying to	1710
that he	1710
into a	1706
the way	1701
kind of	1691
like a	1686
and I	1670
may be	1665
and other	1663
around the	1663
a little	1661
t have	1624
well as	1618
we re	1615
the last	1612
to help	1601
the next	1593
the BBC	1584
I think	1575
the past	1572
said it	1566
they were	1559
the US	1559
that is	1558
in an	1521
you ll	1519
to find	1517
be the	1511
when you	1506
I ve	1506
through the	1501
But the	1501
won t	1487
should be	1486
that we	1482
the end	1464
of an	1462
of your	1455
the government	1454
how to	1447
you want	1445
it to	1441
all of	1436
There are	1432
it has	1430
and more	1428
like the	1419
to go	1405
used to	1405
There s	1401
it would	1400
in this	1397
be able	1392
of them	1386
to use	1381
of these	1375
and then	1357
on your	1355
to keep	1353
it will	1350
end of	1349
a year	1336
based on	1316
a good	1314
had a	1311
did not	1305
during the	1301
when the	1300
in their	1298
of people	1296
said he	1295
and you	1293
the right	1292
we have	1279
not be	1273
said that	1272
the future	1271
and we	1260
not to	1258
out the	1255
across the	1255
is an	1255
people who	1250
the other	1244
the United	1243
get a	1237
back to	1230
in its	1228
would have	1224
told the	1218
a bit	1218
due to	1217
than the	1213
United States	1211
their own	1211
them to	1188
when it	1186
in his	1180
wasn t	1177
you ve	1170
of our	1166
I don	1164
look at	1162
that I	1159
have the	1157
that are	1156
to your	1155
years ago	1153
to work	1150
had to	1144
we ve	1144
we can	1141
he s	1136
the city	1134
and they	1132
in your	1124
there was	1124
percent of	1122
as it	1113
you to	1107
that a	1105
aren t	1101
are the	1100
a great	1093
of those	1089
they can	1089
was not	1089
up the	1088
this week	1087
access to	1082
and his	1080
says the	1078
because of	1075
In a	1074
is also	1072
rather than	1072
I have	1071
in which	1071
I can	1071
and is	1061
up with	1060
the two	1056
you don	1053
than a	1050
a very	1049
the top	1045
they have	1043
where the	1039
it can	1039
the app	1039
after a	1038
is in	1032
make it	1022
just a	1020
we are	1018
he had	1017
According to	1013
a small	1006
that can	1005
most of	1000
off the	1000
the case	999
are not	998
a big	997
likely to	997
might be	994
of it	994
its own	994
said The	990
is still	988
He said	987
are a	985
against the	984
of all	980
many of	979
if they	979
The company	973
on their	970
if the	968
as an	964
who was	962
for this	960
that will	955
and in	955
because it	953
the only	950
of what	947
company s	947
between the	943
to create	940
that would	939
We re	938
been a	936
a number	934
time to	933
to say	931
t be	930
what you	927
that was	926
of that	924
who are	923
with an	923
But it	923
not a	923
is one	920
before the	916
I am	913
a way	909
on its	908
version of	905
she says	905
wanted to	904
a statement	899
first time	898
as they	898
of course	898
expected to	895
to give	887
to an	886
on Thursday	886
North Korea	885
if it	885
or a	885
the number	883
those who	883
thousands of	880
to build	879
may not	877
enough to	877
a long	876
said in	876
since the	874
to their	874
on Wednesday	868
is now	867
the year	863
wants to	861
when they	860
you are	855
you need	853
what s	851
but I	851
last week	845
world s	844
not the	841
hard to	841
t know	836
re not	835
that there	833
up a	832
ll be	832
known as	830
be used	829
the latest	828
order to	828
up in	828
Islamic State	826
Here s	825
try to	825
We are	824
the idea	819
ability to	817
it in	816
under the	815
does not	814
s been	813
when he	812
get the	811
is no	807
the public	807
make a	807
the main	805
she was	802
be in	802
to its	802
not just	801
There is	801
s also	801
along with	799
on Friday	797
on Tuesday	794
easy to	794
fact that	792
One of	789
At the	788
He was	788
make the	783
may have	781
for their	779
the day	779
out to	778
University of	778
because they	777
and to	776
who is	772
t want	770
amount of	770
and its	769
s no	765
about a	763
